city,date,temp_min,temp_max,temp_feels_like,humidity,pressure,wind_speed,wind_gust,wind_deg,clouds,uvi,dew_point,pop,sunrise,sunset,moon_phase,conditions
"La Rochelle, France",2025-04-28,11.01,17.43,16.93,65,1022,6.42,8.32,69,0,5.97,10.88,0,04:55:40,19:08:15,0.02,clear sky
"La Rochelle, France",2025-04-29,12.66,20.92,19.59,64,1018,6.85,11.66,110,0,6,12.88,0,04:54:05,19:09:35,0.06,clear sky
"La Rochelle, France",2025-04-30,13.75,22.18,20.88,68,1016,5.81,9.49,74,1,6,14.84,0,04:52:31,19:10:54,0.1,clear sky
"Colmar, France",2025-04-24,9.6,13.56,12.69,77,1017,2.22,3.34,212,100,2.49,6.06,0.85,04:24:03,18:33:00,0.87,light rain
"Colmar, France",2025-04-25,8.38,13.28,12.18,80,1018,2.66,5.11,350,89,3.65,8.65,1,04:22:16,18:34:27,0.91,moderate rain
"Colmar, France",2025-04-26,7.7,14.94,10.4,83,1019,4.82,10.24,41,99,4.05,7.56,0.47,04:20:31,18:35:53,0.94,light rain
"Colmar, France",2025-04-27,7.08,17.04,14.12,61,1022,4.3,9.19,8,91,6.14,6.8,0,04:18:47,18:37:19,0,overcast clouds
"Colmar, France",2025-04-28,9.17,20.25,18.73,50,1023,3.42,3.43,43,29,5.91,8.15,0,04:17:05,18:38:46,0.02,scattered clouds
"Colmar, France",2025-04-29,9.95,21.34,20.12,52,1022,4.92,7.42,13,12,6,9.89,0,04:15:23,18:40:12,0.06,few clouds
"Colmar, France",2025-04-30,10.87,21.66,20.26,46,1022,5.78,9.69,39,6,6,8.1,0,04:13:43,18:41:38,0.1,clear sky
"Lyon, France",2025-04-24,9.56,15.89,14.88,66,1019,5.2,6.31,334,47,4.6,5.75,0.66,04:39:06,18:38:09,0.87,light rain
"Lyon, France",2025-04-25,8.47,16.86,15.04,55,1018,5.9,8.14,4,46,6.84,6.44,0,04:37:28,18:39:28,0.91,scattered clouds
"Lyon, France",2025-04-26,7.18,17.3,13.43,65,1016,4.23,6.95,1,96,6.54,7.35,0,04:35:51,18:40:46,0.94,overcast clouds
"Lyon, France",2025-04-27,9.78,18.52,16.92,56,1021,2.98,6.45,344,96,2.99,8.34,0.33,04:34:15,18:42:05,0,light rain
"Lyon, France",2025-04-28,9.73,21.39,19.55,57,1022,2.21,4.73,7,8,6.19,10.71,0,04:32:40,18:43:23,0.02,clear sky
"Lyon, France",2025-04-29,12.18,23.63,21.97,55,1020,2.35,4.86,18,2,7,12.53,0,04:31:06,18:44:41,0.06,clear sky
"Lyon, France",2025-04-30,13.4,24.83,23.45,53,1019,1.7,2.09,93,18,7,13.09,0,04:29:34,18:45:59,0.1,few clouds
"Ariège, France",2025-04-24,6.28,13.83,13.33,79,1022,2.49,6.21,312,100,5.75,8.31,0.2,04:58:14,18:46:25,0.87,light rain
"Ariège, France",2025-04-25,7.45,17.39,15.13,49,1016,3,2.1,4,2,7.92,5.79,0,04:56:44,18:47:35,0.91,clear sky
"Ariège, France",2025-04-26,5.73,8.51,6.38,98,1019,2.27,8.26,290,100,1.27,7.13,1,04:55:16,18:48:45,0.94,moderate rain
"Ariège, France",2025-04-27,5.16,10.33,7.24,84,1024,2.44,5.72,309,100,4.97,5.61,1,04:53:49,18:49:54,0,moderate rain
"Ariège, France",2025-04-28,4.67,16.69,15.67,48,1019,2.99,2.74,189,4,7.13,5.77,1,04:52:23,18:51:04,0.02,light rain
"Ariège, France",2025-04-29,6.91,19.75,18.75,37,1016,3.44,3.29,187,0,8,4.9,0,04:50:58,18:52:14,0.06,clear sky
"Ariège, France",2025-04-30,8.27,21.13,20.13,32,1014,3.54,2.99,191,6,8,3.97,0,04:49:34,18:53:23,0.1,clear sky
"Rouen, France",2025-04-24,9.67,14.23,13.02,77,1020,5.39,7.77,357,99,3.64,8.75,0,04:45:55,19:01:14,0.87,overcast clouds
"Rouen, France",2025-04-25,6.02,14.54,12.89,73,1022,3.14,7.26,63,100,5.61,8.3,0,04:44:04,19:02:45,0.91,overcast clouds
"Rouen, France",2025-04-26,9.29,17.54,15.51,62,1021,4.41,8.56,15,100,3.02,8.69,0.78,04:42:14,19:04:17,0.94,light rain
"Rouen, France",2025-04-27,9.76,18.91,17.62,55,1024,4.58,7.36,349,13,5.61,8.89,0.2,04:40:25,19:05:49,0,light rain
"Rouen, France",2025-04-28,8.28,19.41,17.62,47,1025,3.64,8.67,81,45,5.98,6.73,0,04:38:37,19:07:20,0.02,scattered clouds
"Rouen, France",2025-04-29,9.61,21.81,20.41,53,1023,5.64,9.83,96,13,6,10.68,0,04:36:50,19:08:51,0.06,few clouds
"Rouen, France",2025-04-30,11.52,22.28,21.5,57,1022,6.58,12.58,92,32,6,12.47,0,04:35:05,19:10:22,0.1,scattered clouds
"Uzes, France",2025-04-24,10.75,18.11,16.88,49,1016,8.67,13.21,4,12,7.02,6.43,0,04:44:12,18:36:21,0.87,few clouds
"Uzes, France",2025-04-25,10.94,20.6,18.38,42,1014,9.51,15.33,11,1,7.39,5.97,0,04:42:39,18:37:34,0.91,clear sky
"Uzes, France",2025-04-26,9.24,19.62,18.59,46,1014,5.06,10.49,0,91,5.32,7.33,0.57,04:41:07,18:38:47,0.94,light rain
"Uzes, France",2025-04-27,12.42,19.89,14.68,68,1020,6.1,10.7,0,100,5.65,9.35,1,04:39:37,18:40:00,0,light rain
"Uzes, France",2025-04-28,10.6,22.57,21.35,48,1021,4.29,7.84,233,7,5.5,10.11,0,04:38:08,18:41:13,0.02,clear sky
"Uzes, France",2025-04-29,11.86,23.92,22.57,47,1020,3.83,7.11,226,0,6,10.96,0,04:36:40,18:42:26,0.06,clear sky
"Uzes, France",2025-04-30,12.44,24.45,23.97,39,1019,5.05,5.34,183,0,6,9.61,0,04:35:13,18:43:38,0.1,clear sky
"Gorges du Verdon, France",2025-04-24,6.26,16.65,13.04,44,1011,7.79,16.94,311,1,6.99,3.4,0.86,04:37:04,18:28:13,0.87,clear sky
"Gorges du Verdon, France",2025-04-25,7.92,16.91,15.59,46,1010,3.42,3.2,227,8,7.23,5.36,0,04:35:32,18:29:25,0.91,clear sky
"Gorges du Verdon, France",2025-04-26,7.76,15.31,14.28,53,1013,3.46,3.02,170,100,6.27,6.29,1,04:34:01,18:30:37,0.94,light rain
"Gorges du Verdon, France",2025-04-27,7.89,13.49,11.56,74,1018,2.04,3.51,197,100,6.06,8.29,1,04:32:32,18:31:49,0,moderate rain
"Gorges du Verdon, France",2025-04-28,6.61,15.21,13.76,61,1021,2.31,2.21,174,59,6.45,7.74,1,04:31:03,18:33:01,0.02,light rain
"Gorges du Verdon, France",2025-04-29,7.84,18.55,17.69,47,1019,2.16,2.64,233,4,7,7.47,0.84,04:29:36,18:34:13,0.06,light rain
"Gorges du Verdon, France",2025-04-30,9.56,19.73,18.78,39,1019,3.75,2.77,177,1,7,5.64,0,04:28:10,18:35:25,0.1,clear sky
"Nimes, France",2025-04-24,11.27,19.62,18.13,40,1016,8.63,14.16,8,2,6.82,5.13,0,04:44:46,18:36:16,0.87,clear sky
"Nimes, France",2025-04-25,11.74,22.15,19.54,37,1014,8.43,16.52,4,1,7.11,5.19,0,04:43:14,18:37:28,0.91,clear sky
"Nimes, France",2025-04-26,10.86,20.35,18.75,42,1014,5.32,12.72,2,97,4.48,6.51,0.35,04:41:43,18:38:41,0.94,light rain
"Nimes, France",2025-04-27,13.05,21.15,15.73,64,1020,6.02,10.21,6,100,5.3,9.56,1,04:40:13,18:39:53,0,moderate rain
"Nimes, France",2025-04-28,12.02,22.95,22.26,44,1021,5.13,8.64,218,6,6.51,9.69,0,04:38:44,18:41:05,0.02,clear sky
"Nimes, France",2025-04-29,12.89,24.22,23.72,39,1020,4.97,5.56,204,0,7,9.22,0,04:37:16,18:42:18,0.06,clear sky
"Nimes, France",2025-04-30,13.49,25.84,25.32,32,1019,4.57,5.25,186,0,7,7.96,0,04:35:50,18:43:30,0.1,clear sky
"Toulouse, France",2025-04-24,11.69,16.2,15.01,87,1022,6.65,12.56,278,100,4.49,11.18,1,04:56:51,18:47:30,0.87,light rain
"Toulouse, France",2025-04-25,10.35,20.5,17.13,52,1017,2.73,2.76,11,5,7.23,7.85,0,04:55:20,18:48:41,0.91,clear sky
"Toulouse, France",2025-04-26,11.19,15.22,11.89,95,1018,6.47,12.58,295,99,4.25,11.15,1,04:53:50,18:49:53,0.94,moderate rain
"Toulouse, France",2025-04-27,10.64,18.23,15.74,67,1022,5.09,9.71,278,93,6.16,9.89,1,04:52:20,18:51:05,0,light rain
"Toulouse, France",2025-04-28,9.56,22.34,19.95,53,1020,5.7,10.95,116,0,6.75,10.42,0,04:50:52,18:52:16,0.02,clear sky
"Toulouse, France",2025-04-29,11.96,22.63,21.69,44,1017,8.49,14.87,116,0,7,9.27,0,04:49:25,18:53:28,0.06,clear sky
"Toulouse, France",2025-04-30,12.78,23.12,22.56,41,1015,8.35,15.71,114,0,7,9.07,0,04:48:00,18:54:39,0.1,clear sky
"Eguisheim, France",2025-04-24,9.3,13.27,12.41,77,1018,2.26,3.75,212,100,2.49,5.66,0.75,04:24:19,18:33:08,0.87,moderate rain
"Eguisheim, France",2025-04-25,7.9,12.95,11.87,80,1018,2.75,5.58,350,87,3.65,8.62,1,04:22:33,18:34:34,0.91,moderate rain
"Eguisheim, France",2025-04-26,7.13,14.56,10.14,83,1019,4.97,10.08,17,98,4.05,7.51,0.39,04:20:48,18:36:00,0.94,light rain
"Eguisheim, France",2025-04-27,7,16.65,13.88,60,1022,4.3,9.84,9,84,6.14,6.61,0,04:19:04,18:37:27,0,broken clouds
"Eguisheim, France",2025-04-28,9.04,19.94,18.42,50,1023,3.18,3.4,45,33,5.91,8.05,0,04:17:22,18:38:53,0.02,scattered clouds
"Eguisheim, France",2025-04-29,9.94,21.09,19.79,52,1022,4.85,8.41,14,12,6,9.78,0,04:15:40,18:40:19,0.06,few clouds
"Eguisheim, France",2025-04-30,10.74,21.33,19.77,46,1022,5.91,10.06,36,5,6,8.08,0,04:14:00,18:41:45,0.1,clear sky
